Month,Year,n_visitor,bombing
January,1982,11961,0
February,1982,10278,0
March,1982,12454,0
April,1982,10946,0
May,1982,10982,0
June,1982,12768,0
July,1982,14649,0
August,1982,16982,0
September,1982,10141,0
October,1982,12265,0
November,1982,13809,0
December,1982,13438,0
January,1983,12024,0
February,1983,11192,0
March,1983,12906,0
April,1983,11916,0
May,1983,13184,0
June,1983,10923,0
July,1983,14860,0
August,1983,18800,0
September,1983,15203,0
October,1983,16685,0
November,1983,14003,0
December,1983,14879,0
January,1984,17062,0
February,1984,14038,0
March,1984,17546,0
April,1984,15588,0
May,1984,13665,0
June,1984,12384,0
July,1984,15975,0
August,1984,20310,0
September,1984,15309,0
October,1984,14755,0
November,1984,15704,0
December,1984,16497,0
January,1985,14897,0
February,1985,16899,0
March,1985,19813,0
April,1985,14462,0
May,1985,16678,0
June,1985,15999,0
July,1985,16931,0
August,1985,22027,0
September,1985,19289,0
October,1985,17772,0
November,1985,16209,0
December,1985,20246,0
January,1986,19378,0
February,1986,18738,0
March,1986,21414,0
April,1986,16915,0
May,1986,18199,0
June,1986,18129,0
July,1986,18989,0
August,1986,27251,0
September,1986,20414,0
October,1986,20222,0
November,1986,21506,0
December,1986,22199,0
January,1987,22870,0
February,1987,21652,0
March,1987,25511,0
April,1987,23206,0
May,1987,22379,0
June,1987,24382,0
July,1987,26811,0
August,1987,30485,0
September,1987,25912,0
October,1987,28707,0
November,1987,28643,0
December,1987,28734,0
January,1988,29251,0
February,1988,28207,0
March,1988,31957,0
April,1988,26829,0
May,1988,26445,0
June,1988,26804,0
July,1988,33336,0
August,1988,31573,0
September,1988,30036,0
October,1988,32534,0
November,1988,31520,0
December,1988,31921,0
January,1989,31755,0
February,1989,32279,0
March,1989,37689,0
April,1989,32063,0
May,1989,29049,0
June,1989,35359,0
July,1989,41495,0
August,1989,39700,0
September,1989,40063,0
October,1989,39283,0
November,1989,37565,0
December,1989,40058,0
January,1990,40066,0
February,1990,32808,0
March,1990,38298,0
April,1990,39619,0
May,1990,34879,0
June,1990,40615,0
July,1990,48048,0
August,1990,47283,0
September,1990,45682,0
October,1990,42275,0
